0.457mm;V;Vdobleoffset;V;Vsencillaoffset
0;0.007;0;0.007;0
0.1;0.007;0;0.007;0
0.2;0.009;0.002;0.007;0
0.3;0.016;0.009;0.007;0
0.4;0.022;0.015;0.007;0
0.5;0.022;0.015;0.007;0
0.6;0.019;0.012;0.007;0
0.7;0.013;0.006;0.007;0
0.8;0.012;0.005;0.007;0
0.9;0.02;0.013;0.007;0
1;0.034;0.027;0.007;0
1.1;0.043;0.036;0.007;0
1.2;0.046;0.039;0.007;0
1.3;0.046;0.039;0.007;0
1.4;0.055;0.048;0.007;0
1.5;0.076;0.069;0.007;0
1.6;0.095;0.088;0.007;0
1.7;0.098;0.091;0.007;0
1.8;0.08;0.073;0.007;0
1.9;0.064;0.057;0.007;0
2;0.084;0.077;0.007;0
2.1;0.15;0.143;0.008;0.001
2.2;0.24;0.233;0.008;0.001
2.3;0.282;0.275;0.009;0.002
2.4;0.248;0.241;0.01;0.003
2.5;0.15;0.143;0.013;0.006
2.6;0.076;0.069;0.017;0.01
2.7;0.107;0.1;0.021;0.014
2.8;0.278;0.271;0.026;0.019
2.9;0.471;0.464;0.032;0.025
3;0.563;0.556;0.039;0.032
3.1;0.467;0.46;0.048;0.041
3.2;0.266;0.259;0.056;0.049
3.3;0.086;0.079;0.065;0.058
3.4;0.108;0.101;0.076;0.069
3.5;0.332;0.325;0.087;0.08
3.6;0.656;0.649;0.098;0.091
3.7;0.826;0.819;0.11;0.103
3.8;0.719;0.712;0.123;0.116
3.9;0.416;0.409;0.136;0.129
4;0.123;0.116;0.147;0.14
4.1;0.081;0.074;0.162;0.155
4.2;0.337;0.33;0.175;0.168
4.3;0.728;0.721;0.189;0.182
4.4;0.951;0.944;0.202;0.195
4.5;0.878;0.871;0.214;0.207
4.6;0.517;0.51;0.225;0.218
4.7;0.176;0.169;0.238;0.231
4.8;0.065;0.058;0.25;0.243
4.9;0.265;0.258;0.259;0.252
5;0.608;0.601;0.267;0.26
5.1;0.852;0.845;0.275;0.268
5.2;0.815;0.808;0.282;0.275
5.3;0.526;0.519;0.287;0.28
5.4;0.193;0.186;0.291;0.284
5.5;0.061;0.054;0.294;0.287
5.6;0.168;0.161;0.294;0.287
5.7;0.411;0.404;0.293;0.286
5.8;0.594;0.587;0.291;0.284
5.9;0.58;0.573;0.288;0.281
6;0.408;0.401;0.282;0.275
6.1;0.174;0.167;0.275;0.268
6.2;0.064;0.057;0.269;0.262
6.3;0.095;0.088;0.258;0.251
6.4;0.212;0.205;0.248;0.241
6.5;0.305;0.298;0.238;0.231
6.6;0.302;0.295;0.226;0.219
6.7;0.214;0.207;0.214;0.207
6.8;0.116;0.109;0.201;0.194
6.9;0.058;0.051;0.187;0.18
7;0.058;0.051;0.174;0.167
7.1;0.086;0.079;0.16;0.153
7.2;0.106;0.099;0.147;0.14
7.3;0.097;0.09;0.134;0.127
7.4;0.071;0.064;0.12;0.113
7.5;0.049;0.042;0.107;0.1
7.6;0.039;0.032;0.095;0.088
7.7;0.035;0.028;0.085;0.078
7.8;0.03;0.023;0.074;0.067
7.9;0.021;0.014;0.063;0.056
8;0.013;0.006;0.053;0.046
8.1;0.012;0.005;0.045;0.038
8.2;0.016;0.009;0.037;0.03
8.3;0.02;0.013;0.03;0.023
8.4;0.019;0.012;0.024;0.017
8.5;0.014;0.007;0.019;0.012
8.6;0.011;0.004;0.015;0.008
8.7;0.01;0.003;0.011;0.004
8.8;0.012;0.005;0.009;0.002
8.9;0.008;0.001;0.009;0.002
9;0.008;0.001;0.007;0