Sencilla0.457mm;Toma1;Toma2;Toma3;Toma4;Toma5;Toma1Fix;Toma2Fix;Toma3Fix;Toma4Fix;Toma5Fix;Prom;Desv;;;;;
2.6;13;11;15;8;10;8.4;6.4;10.4;3.4;5.4;6.8;2.701851217;;;;;
2.7;12;9;16;12;13;7.4;4.4;11.4;7.4;8.4;7.8;2.50998008;;;;;
2.8;12;13;14;19;10;7.4;8.4;9.4;14.4;5.4;9;3.361547263;;;;;
2.9;15;16;14;15;22;10.4;11.4;9.4;10.4;17.4;11.8;3.209361307;;;;;
3;15;19;16;13;19;10.4;14.4;11.4;8.4;14.4;11.8;2.607680962;;;;;
3.1;21;22;18;21;17;16.4;17.4;13.4;16.4;12.4;15.2;2.167948339;;;;;
3.2;20;17;22;19;15;15.4;12.4;17.4;14.4;10.4;14;2.701851217;;;;;
3.3;20;21;23;23;19;15.4;16.4;18.4;18.4;14.4;16.6;1.788854382;;;;;
3.4;27;22;25;24;28;22.4;17.4;20.4;19.4;23.4;20.6;2.387467277;;;;;
3.5;26;27;28;20;21;21.4;22.4;23.4;15.4;16.4;19.8;3.646916506;;;;;
3.6;27;33;29;26;24;22.4;28.4;24.4;21.4;19.4;23.2;3.420526275;;;;;
3.7;29;28;35;30;31;24.4;23.4;30.4;25.4;26.4;26;2.701851217;;;;;
3.8;28;37;31;37;32;23.4;32.4;26.4;32.4;27.4;28.4;3.937003937;;;;;
3.9;44;36;31;36;35;39.4;31.4;26.4;31.4;30.4;31.8;4.722287581;;;;;
4;43;39;42;45;39;38.4;34.4;37.4;40.4;34.4;37;2.607680962;;;;;
4.1;55;47;46;49;54;50.4;42.4;41.4;44.4;49.4;45.6;4.086563348;;;;;
4.2;62;58;53;63;58;57.4;53.4;48.4;58.4;53.4;54.2;3.962322551;;;;;
4.3;66;59;66;65;60;61.4;54.4;61.4;60.4;55.4;58.6;3.420526275;;;;;
4.4;70;67;66;73;66;65.4;62.4;61.4;68.4;61.4;63.8;3.049590136;;;;;
4.5;76;74;80;71;76;71.4;69.4;75.4;66.4;71.4;70.8;3.286335345;;;;;
4.6;87;77;91;87;92;82.4;72.4;86.4;82.4;87.4;82.2;5.93295879;;;;;
4.7;95;88;89;90;94;90.4;83.4;84.4;85.4;89.4;86.6;3.1144823;;;;;
4.8;98;101;100;98;99;93.4;96.4;95.4;93.4;94.4;94.6;1.303840481;;;;;
4.9;108;104;113;106;111;103.4;99.4;108.4;101.4;106.4;103.8;3.646916506;;;;;
5;112;120;111;119;114;107.4;115.4;106.4;114.4;109.4;110.6;4.086563348;;;;;
5.1;129;123;127;129;123;124.4;118.4;122.4;124.4;118.4;121.6;3.033150178;;;;;
5.2;138;136;135;133;125;133.4;131.4;130.4;128.4;120.4;128.8;5.029910536;;;;;
5.3;151;145;137;138;145;146.4;140.4;132.4;133.4;140.4;138.6;5.761944116;;;;;
5.4;141;146;145;151;155;136.4;141.4;140.4;146.4;150.4;143;5.458937626;;;;;
5.5;155;149;148;156;149;150.4;144.4;143.4;151.4;144.4;146.8;3.78153408;;;;;
5.6;160;157;154;154;150;155.4;152.4;149.4;149.4;145.4;150.4;3.741657387;;;;;
5.7;160;161;156;165;159;155.4;156.4;151.4;160.4;154.4;155.6;3.271085447;;;;;
5.8;164;167;168;162;167;159.4;162.4;163.4;157.4;162.4;161;2.50998008;;;;;
5.9;172;178;171;163;169;167.4;173.4;166.4;158.4;164.4;166;5.412947441;;;;;
6;174;167;168;180;177;169.4;162.4;163.4;175.4;172.4;168.6;5.630275304;;;;;
6.1;171;174;167;172;166;166.4;169.4;162.4;167.4;161.4;165.4;3.391164992;;;;;
6.2;178;163;176;159;172;173.4;158.4;171.4;154.4;167.4;165;8.264381405;;;;;
6.3;166;163;161;169;169;161.4;158.4;156.4;164.4;164.4;161;3.577708764;;;;;
6.4;161;155;158;167;159;156.4;150.4;153.4;162.4;154.4;155.4;4.472135955;;;;;
6.5;143;151;149;157;156;138.4;146.4;144.4;152.4;151.4;146.6;5.674504384;;;;;
6.6;151;143;153;144;140;146.4;138.4;148.4;139.4;135.4;141.6;5.540758071;;;;;
6.7;149;144;154;134;144;144.4;139.4;149.4;129.4;139.4;140.4;7.416198487;;;;;
6.8;136;139;143;135;138;131.4;134.4;138.4;130.4;133.4;133.6;3.1144823;;;;;
6.9;129;136;130;138;140;124.4;131.4;125.4;133.4;135.4;130;4.878524367;;;;;
7;125;129;130;125;126;120.4;124.4;125.4;120.4;121.4;122.4;2.34520788;;;;;
7.1;113;122;123;128;123;108.4;117.4;118.4;123.4;118.4;117.2;5.449770637;;;;;
7.2;105;115;114;107;114;100.4;110.4;109.4;102.4;109.4;106.4;4.636809248;;;;;
7.3;108;114;102;103;107;103.4;109.4;97.4;98.4;102.4;102.2;4.7644517;;;;;
7.4;94;98;99;90;96;89.4;93.4;94.4;85.4;91.4;90.8;3.577708764;;;;;
7.5;83;79;96;92;81;78.4;74.4;91.4;87.4;76.4;81.6;7.395944835;;;;;
7.6;79;76;80;91;75;74.4;71.4;75.4;86.4;70.4;75.6;6.379655163;;;;;
7.7;72;75;73;71;69;67.4;70.4;68.4;66.4;64.4;67.4;2.236067977;;;;;
7.8;66;63;70;68;73;61.4;58.4;65.4;63.4;68.4;63.4;3.807886553;;;;;
7.9;61;59;58;68;57;56.4;54.4;53.4;63.4;52.4;56;4.393176527;;;;;
8;53;54;67;63;52;48.4;49.4;62.4;58.4;47.4;53.2;6.760177512;;;;;
8.1;64;48;45;51;48;59.4;43.4;40.4;46.4;43.4;46.6;7.463243263;;;;;
8.2;44;47;51;47;48;39.4;42.4;46.4;42.4;43.4;42.8;2.50998008;;;;;
8.3;39;35;39;47;37;34.4;30.4;34.4;42.4;32.4;34.8;4.5607017;;;;;
8.4;39;35;39;34;36;34.4;30.4;34.4;29.4;31.4;32;2.302172887;;;;;
8.5;33;40;41;38;36;28.4;35.4;36.4;33.4;31.4;33;3.209361307;;;;;
8.6;33;35;33;41;35;28.4;30.4;28.4;36.4;30.4;30.8;3.286335345;;;;;
8.7;27;29;34;28;29;22.4;24.4;29.4;23.4;24.4;24.8;2.701851217;;;;;
8.8;21;23;21;18;21;16.4;18.4;16.4;13.4;16.4;16.2;1.788854382;;;;;
8.9;22;27;25;25;24;17.4;22.4;20.4;20.4;19.4;20;1.816590212;;;;;
9;27;22;26;28;27;22.4;17.4;21.4;23.4;22.4;21.4;2.34520788;;;;;