V;C1;C2;C3;promC;desvC;A1;A2;A3;promA;desvA;;;;;;;
350;0;0;0;0;0;0;0;0;0;0;;;;;;;
380;0;0;0;0;0;0;0;0;0;0;;;;;;;
410;0;0;0;0;0;0;0;0;0;0;;;;;;;
440;0;0;0;0;0;0;0;0;0;0;;;;;;;
470;0;0;0;0;0;5;7;4;5.333333333;1.247219129;;;;;;;
500;1;2;0;1;0.816496581;46;49;53;49.33333333;2.867441756;;;;;;;
530;4;3;2;3;0.816496581;112;125;117;118;5.354126135;;;;;;;
560;3;5;5;4.333333333;0.942809042;190;191;185;188.6666667;2.624669291;;;;;;;
590;12;14;14;13.33333333;0.942809042;225;228;236;229.6666667;4.642796092;;;;;;;
620;18;20;17;18.33333333;1.247219129;254;270;250;258;8.640987598;;;;;;;
650;33;26;31;30;2.943920289;277;297;267;280.3333333;12.47219129;;;;;;;